Invoice	Date	Item Name	Net Sales
	Mar 22, 2018	살고기국수	9.88
	Mar 22, 2018	LA 갈비	19.88
			40.64
417700			
	Mar 22, 2018	섞어순두부	10.88
	Mar 22, 2018	감자탕	29.88
	Mar 22, 2018	오징어불고기	14.88
			55.64
417673			
	Mar 22, 2018	섞어순두부	10.88
	Mar 22, 2018	살고기당면	9.88
	Mar 22, 2018	잡채	18.88
	Mar 22, 2018	족발	26.88
	Mar 22, 2018	군만두	9.88
			76.40
417681			
	Mar 22, 2018	coca-cola	1.95
	Mar 22, 2018	Nestea	2.25
	Mar 22, 2018	돌솥비빔밥	12.88
	Mar 22, 2018	LA 갈비	19.88
	Mar 22, 2018	따로국밥	10.88
			47.84
417712			
	Mar 22, 2018	coca-cola	3.90
	Mar 22, 2018	즉석불고기	29.88
			33.78
417735			
	Mar 22, 2018	Kokanee	24.75
			24.75
417728			
	Mar 22, 2018	Budweiser	29.70
	Mar 22, 2018	족발	26.88
			56.58
417715			
	Mar 22, 2018	coca-cola	3.90
	Mar 22, 2018	불낙전골	34.88
			38.78
417811			
	Mar 23, 2018	오징어불고기	14.88
	Mar 23, 2018	따로국밥	10.88
			25.76
417770			
	Mar 23, 2018	감자탕	29.88
	Mar 23, 2018	군만두	9.88
	Mar 23, 2018	갈비탕	12.88
			52.64
417768			
	Mar 23, 2018	감자탕	29.88
			29.88
417736			
	Mar 23, 2018	감자탕	29.88
	Mar 23, 2018	해물파전	19.88
			49.76
417751			
	Mar 23, 2018	감자탕	29.88
			29.88
417782			
	Mar 23, 2018	감자탕	29.88
	Mar 23, 2018	군만두	9.88
			39.76
417799			
	Mar 23, 2018	감자탕	29.88
	Mar 23, 2018	밥 Rice	2.00
			31.88
417829			
	Mar 23, 2018	감자탕	29.88
			29.88
417820			
	Mar 23, 2018	감자탕	29.88
	Mar 23, 2018	순대접시	16.88
	Mar 23, 2018	오삼 불고기	33.88
	Mar 23, 2018	coca-cola	3.90
			84.54
417816			
	Mar 23, 2018	감자탕	29.88
	Mar 23, 2018	돌솥비빔밥	12.88
	Mar 23, 2018	coca-cola	3.90
			46.66
417815			
	Mar 23, 2018	부대찌게	29.88
	Mar 23, 2018	양념치킨	18.88
	Mar 23, 2018	보쌈	24.88
	Mar 23, 2018	매운닭갈비	33.88
	Mar 23, 2018	밥 Rice	4.00
	Mar 23, 2018	오삼 불고기	33.88
			145.40
417810			
	Mar 23, 2018	부대찌게	29.88
	Mar 23, 2018	매운닭갈비	33.88
	Mar 23, 2018	Honey B Pint	3.95
	Mar 23, 2018	coca-cola	1.95
			69.66
417779			
	Mar 23, 2018	불낙전골	34.88
	Mar 23, 2018	해물파전	19.88
			54.76
417791			
	Mar 23, 2018	불낙전골	34.88
			34.88
417802			
	Mar 23, 2018	비빔밥	10.88
	Mar 23, 2018	매운닭갈비	33.88
			44.76
417826			
	Mar 23, 2018	돌솥비빔밥	12.88
			12.88
417745			
	Mar 23, 2018	비빔밥	10.88
			10.88
417777			
	Mar 23, 2018	부대찌게	29.88
	Mar 23, 2018	Cham Soju	14.95
			44.83
417747			
	Mar 23, 2018	부대찌게	29.88
	Mar 23, 2018	밥 Rice	2.00
			31.88
417803			
	Mar 23, 2018	떡볶이	26.88
	Mar 23, 2018	돌솥비빔밥	12.88
	Mar 23, 2018	비빔냉면	10.88
	Mar 23, 2018	coca-cola	3.90
			54.54
417831			
	Mar 23, 2018	감자탕	39.88
	Mar 23, 2018	양념치킨	18.88
	Mar 23, 2018	비빔냉면	21.76
	Mar 23, 2018	밥 Rice	2.00
	Mar 23, 2018	Cham Soju	12.95
	Mar 23, 2018	coca-cola	1.95
	Mar 23, 2018	Diet Coke	3.90
			101.32
417827			
	Mar 23, 2018	양념치킨	18.88
	Mar 23, 2018	매운닭갈비	33.88
	Mar 23, 2018	해물순두부	10.88
	Mar 23, 2018	섞어순두부	21.76
	Mar 23, 2018	coca-cola	1.95
			87.35
417830			
	Mar 23, 2018	양념치킨	18.88
	Mar 23, 2018	만두접시	17.88
	Mar 23, 2018	7-up	1.95
	Mar 23, 2018	매운닭갈비	33.88
	Mar 23, 2018	Sul Joong Mae	17.95
			90.54
417783			
	Mar 23, 2018	순대접시	10.88
	Mar 23, 2018	양념치킨	18.88
	Mar 23, 2018	해물순두부	10.88
			40.64
417796			
	Mar 23, 2018	잡채	18.88
	Mar 23, 2018	매운닭갈비	33.88
			52.76
417772			
	Mar 23, 2018	잡채	18.88
	Mar 23, 2018	물냉면	10.88
	Mar 23, 2018	따로국밥	10.88
			40.64
417835			
	Mar 23, 2018	순대접시	16.88
	Mar 23, 2018	족발	26.88
	Mar 23, 2018	Cham Soju	12.95
	Mar 23, 2018	Honey B Pitcher	12.95
			69.66
417800			
	Mar 23, 2018	족발	26.88
			26.88
417764			
	Mar 23, 2018	만두접시	17.88
	Mar 23, 2018	돌솥비빔밥	12.88
	Mar 23, 2018	Juice	2.95
	Mar 23, 2018	해물파전	19.88
